Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WordpressAddPost,Chrome 64.0.3282.186,,2018-03-05 14:07:46,2018-03-05 14:08:13,26.766s,PASSED
,,,,,,
Test Cases/Wordpress add post,Chrome 64.0.3282.186,,2018-03-05 14:07:47,2018-03-05 14:08:13,26.170s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-05 14:07:47,2018-03-05 14:07:51,3.458s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-05 14:07:51,2018-03-05 14:07:53,1.656s,PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-05 14:07:53,2018-03-05 14:07:54,1.154s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-05 14:07:54,2018-03-05 14:07:54,0.229s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-05 14:07:54,2018-03-05 14:07:54,0.154s,PASSED
click,Chrome 64.0.3282.186,,2018-03-05 14:07:54,2018-03-05 14:07:57,2.666s,PASSED
mouseOver,Chrome 64.0.3282.186,,2018-03-05 14:07:57,2018-03-05 14:07:57,0.096s,PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-05 14:07:57,2018-03-05 14:07:57,0.578s,PASSED
mouseOver,Chrome 64.0.3282.186,,2018-03-05 14:07:57,2018-03-05 14:07:58,0.040s,PASSED
click,Chrome 64.0.3282.186,,2018-03-05 14:07:58,2018-03-05 14:07:58,0.929s,PASSED
click,Chrome 64.0.3282.186,,2018-03-05 14:07:58,2018-03-05 14:07:58,0.001s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-05 14:07:58,2018-03-05 14:07:59,0.839s,PASSED
click,Chrome 64.0.3282.186,,2018-03-05 14:07:59,2018-03-05 14:08:04,4.436s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-05 14:08:04,2018-03-05 14:08:04,0.453s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-05 14:08:04,2018-03-05 14:08:05,0.472s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-05 14:08:05,2018-03-05 14:08:08,3.039s,PASSED
click,Chrome 64.0.3282.186,,2018-03-05 14:08:08,2018-03-05 14:08:11,3.361s,PASSED
waitForElementPresent,Chrome 64.0.3282.186,,2018-03-05 14:08:11,2018-03-05 14:08:11,0.003s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-05 14:08:11,2018-03-05 14:08:12,1.060s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-05 14:08:12,2018-03-05 14:08:12,0.059s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-05 14:08:12,2018-03-05 14:08:13,0.915s,PASSED
