Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WordpressAddPost,Chrome 64.0.3282.186,,2018-03-05 13:33:08,2018-03-05 13:33:34,26.513s,PASSED
,,,,,,
Test Cases/Wordpress add post,Chrome 64.0.3282.186,,2018-03-05 13:33:08,2018-03-05 13:33:34,26.015s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-05 13:33:09,2018-03-05 13:33:12,3.306s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-05 13:33:12,2018-03-05 13:33:13,1.437s,PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-05 13:33:13,2018-03-05 13:33:15,1.150s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-05 13:33:15,2018-03-05 13:33:15,0.206s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-05 13:33:15,2018-03-05 13:33:15,0.117s,PASSED
click,Chrome 64.0.3282.186,,2018-03-05 13:33:15,2018-03-05 13:33:17,2.559s,PASSED
mouseOver,Chrome 64.0.3282.186,,2018-03-05 13:33:17,2018-03-05 13:33:18,0.069s,PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-05 13:33:18,2018-03-05 13:33:18,0.578s,PASSED
mouseOver,Chrome 64.0.3282.186,,2018-03-05 13:33:18,2018-03-05 13:33:18,0.040s,PASSED
click,Chrome 64.0.3282.186,,2018-03-05 13:33:18,2018-03-05 13:33:19,0.870s,PASSED
click,Chrome 64.0.3282.186,,2018-03-05 13:33:19,2018-03-05 13:33:19,0.005s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-05 13:33:19,2018-03-05 13:33:20,0.772s,PASSED
click,Chrome 64.0.3282.186,,2018-03-05 13:33:20,2018-03-05 13:33:24,4.388s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-05 13:33:24,2018-03-05 13:33:25,0.600s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-05 13:33:25,2018-03-05 13:33:25,0.560s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-05 13:33:25,2018-03-05 13:33:28,3.024s,PASSED
click,Chrome 64.0.3282.186,,2018-03-05 13:33:28,2018-03-05 13:33:32,3.656s,PASSED
waitForElementPresent,Chrome 64.0.3282.186,,2018-03-05 13:33:32,2018-03-05 13:33:32,0.005s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-05 13:33:32,2018-03-05 13:33:33,1.140s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-05 13:33:33,2018-03-05 13:33:33,0.060s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-05 13:33:33,2018-03-05 13:33:34,1.038s,PASSED
